module,module:clients.openai-python.tests.test_openai_compatibility,module:clients.python-deprecated.src.tensorzero,module:clients.python-deprecated.src.tensorzero.client,module:clients.python-deprecated.src.tensorzero.types,module:clients.python-deprecated.src.tensorzero.util,module:clients.python-deprecated.tests.test_client,module:clients.python-pyo3.tensorzero,module:clients.python-pyo3.tensorzero.client,module:clients.python-pyo3.tensorzero.types,module:clients.python-pyo3.tensorzero.util,module:clients.python-pyo3.tests.test_client,module:examples.gsm8k-custom-recipe-dspy.dataset.dataset,module:examples.guides.episodes.main,module:examples.guides.metrics-feedback.main,module:examples.guides.multimodal-inference.main,module:examples.guides.multimodal-inference.main_openai,module:examples.guides.prompts-templates-schemas.main,module:examples.guides.prompts-templates-schemas.main_openai,module:examples.guides.streaming-inference.run,module:examples.quickstart.after,module:examples.quickstart.after_async,module:examples.quickstart.after_openai,module:examples.quickstart.before,module:examples.readme.openai_client,module:examples.readme.tensorzero_async_client,module:examples.readme.tensorzero_sync_client,module:examples.tutorial.01-simple-chatbot.run,module:examples.tutorial.01-simple-chatbot.run_async,module:examples.tutorial.01-simple-chatbot.run_openai,module:examples.tutorial.02-email-copilot.run,module:examples.tutorial.02-email-copilot.run_async,module:examples.tutorial.02-email-copilot.run_openai,module:examples.tutorial.03-weather-rag.run,module:examples.tutorial.03-weather-rag.run_async,module:examples.tutorial.03-weather-rag.run_openai,module:examples.tutorial.04-email-data-extraction.run,module:examples.tutorial.04-email-data-extraction.run_async,module:examples.tutorial.04-email-data-extraction.run_openai,module:recipes.mipro.utils.client_calls,module:recipes.mipro.utils.configs.base,module:recipes.mipro.utils.configs.config,module:recipes.mipro.utils.configs.functions,module:recipes.mipro.utils.configs.gateway,module:recipes.mipro.utils.configs.metrics,module:recipes.mipro.utils.configs.reader,module:recipes.mipro.utils.configs.tools,module:recipes.mipro.utils.configs.variants,module:recipes.mipro.utils.configs.writers,module:recipes.tests,module:recipes.tests.test_clickhouse_queries,module:recipes.tests.test_openai_validation,module:recipes.util,module:recipes.util.openai_validation,module:tensorzero-internal.fixtures.deployment.sagemaker-ollama.proxy,module:tensorzero-internal.fixtures.deployment.sagemaker-ollama.scripts.deploy_endpoint
module:clients.openai-python.tests.test_openai_compatibility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-deprecated.src.tensorzero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-deprecated.src.tensorzero.client,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-deprecated.src.tensorzero.types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-deprecated.src.tensorzero.util,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-deprecated.tests.test_client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-pyo3.tensorzero,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-pyo3.tensorzero.client,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-pyo3.tensorzero.types,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-pyo3.tensorzero.util,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:clients.python-pyo3.tests.test_client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.gsm8k-custom-recipe-dspy.dataset.dataset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.episodes.main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.metrics-feedback.main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.multimodal-inference.main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.multimodal-inference.main_openai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.prompts-templates-schemas.main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.prompts-templates-schemas.main_openai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.guides.streaming-inference.run,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.quickstart.after,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.quickstart.after_async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.quickstart.after_openai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.quickstart.before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.readme.openai_client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.readme.tensorzero_async_client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.readme.tensorzero_sync_client,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.01-simple-chatbot.run,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.01-simple-chatbot.run_async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.01-simple-chatbot.run_openai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.02-email-copilot.run,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.02-email-copilot.run_async,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module:examples.tutorial.02-email-copilot.run_openai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
